Path,Field,DataType,Size,Dim1,Dim2,AttrDepth,TimeInfo,Comment
/AwakeEventData/AIRTR02/Acq,position,int32,1,1,0,0,acqStamp,Linear Translator in TCV4
/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,phaseACurrentValue,float32,1,1,0,0,acqStamp,SPS-AWAKE RF phase
/AwakeEventData/BLMITT41/Acquisition,acqDesc,|S1,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,acqMsg,|S1,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,acqState,int32,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,acqTime,int32,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,alarmStatus,int16,40,40,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,blrSignalStatus,int16,40,40,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,calLosses,float32,40,40,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,calLosses_unit,|S4,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,calLosses_unitExponent,int32,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,calThresholds,float32,40,40,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,channelNames,|S15,15,15,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,deviceName,|S5,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,enableExtFlagBIC,int32,2,2,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,measStamp,int32,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,nbOfChannels,int32,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,nbOfMeas,int32,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,normLosses,float32,40,40,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,observables,int32,1,1,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,rawLosses,int16,40,40,0,2,acqStamp,Beam loss
/AwakeEventData/BLMITT41/Acquisition,superCycleNb,int32,1,1,0,2,acqStamp,Beam loss
